phase,model_role,fold,training_n,training_events,training_non_events,validation_n,validation_observed_n,prediction_min,prediction_max
INSPIRE,auxiliary outcome model,1,19901,1339,18562,6680,4973,0.014936659841053742,0.6006050474252954
INSPIRE,auxiliary outcome model,2,19891,1333,18558,6679,4983,0.0132752567746059,0.5766305474541361
INSPIRE,auxiliary outcome model,3,19881,1314,18567,6679,4993,0.012301444652527548,0.5368085219657359
INSPIRE,auxiliary outcome model,4,19915,1335,18580,6679,4959,0.014333494410220565,0.5711590526201529
INSPIRE,auxiliary outcome model,5,19908,1363,18545,6679,4966,0.013632783846867055,0.5669798225566752
MOVER 2021,auxiliary outcome model,1,1764,201,1563,561,448,0.017427589335304194,0.7354658589284349
MOVER 2021,auxiliary outcome model,2,1774,210,1564,560,438,0.018444188567271227,0.7760020988084774
MOVER 2021,auxiliary outcome model,3,1762,196,1566,561,450,0.017004719003637488,0.710891944492564
MOVER 2021,auxiliary outcome model,4,1779,182,1597,560,433,0.014372406387933438,0.8226141699335778
MOVER 2021,auxiliary outcome model,5,1769,191,1578,560,443,0.0175321847040178,0.7360112715492706
MOVER 2022,auxiliary outcome model,1,1622,178,1444,518,411,0.005673245656185846,0.8067249199525744
MOVER 2022,auxiliary outcome model,2,1624,179,1445,518,409,0.006856104719692765,0.691502485419017
MOVER 2022,auxiliary outcome model,3,1623,170,1453,517,410,0.005218708435324186,0.6486195036045663
MOVER 2022,auxiliary outcome model,4,1624,182,1442,517,409,0.011769023030856394,0.6001217251049203
MOVER 2022,auxiliary outcome model,5,1639,187,1452,517,394,0.010626923786513367,0.6633058958222592
