check,status,detail
flow_INSPIRE,pass,"actual=(33396, 24874, 8522, 1671); expected=(33396, 24874, 8522, 1671)"
flow_MOVER 2021,pass,"actual=(2802, 2212, 590, 245); expected=(2802, 2212, 590, 245)"
flow_MOVER 2022,pass,"actual=(2587, 2033, 554, 224); expected=(2587, 2033, 554, 224)"
raw_rebuild_cell_equivalence,pass,"[{'dataset': 'INSPIRE', 'differing_cells': 0, 'passed': True}, {'dataset': 'MOVER', 'differing_cells': 0, 'passed': True}, {'dataset': 'VitalDB', 'differing_cells': 0, 'passed': True}]"
analysis_schema,pass,checks=13
source_preprocessor_full_eligible,pass,"[{'feature': 'age', 'preprocessor_training_n': 33396}, {'feature': 'duration_h', 'preprocessor_training_n': 33396}, {'feature': 'baseline_cr', 'preprocessor_training_n': 33396}, {'feature': 'sex_male', 'preprocessor_training_n': 33396}]"
model_specification_records_33396,pass,full-eligible count present
model_coefficients_complete,pass,features=16; coefficients=16
fractional_logistic_binary_equivalence,pass,"{'test': 'fractional logistic equals ordinary logistic for binary outcomes', 'n': 33396, 'observed_outcome_n_in_binary_fixture': 24874, 'max_absolute_coefficient_difference': 2.2175095093501795e-10, 'max_absolute_prediction_difference': 2.804800836031518e-11, 'tolerance': 1e-07, 'status': 'PASS'}"
auxiliary_diagnostics_six_rows,pass,rows=6
auxiliary_probabilities_valid,pass,min=0.005219; max=0.822614
auxiliary_crossfit_fold_classes,pass,folds=15
source_mnar_scenarios,pass,"rows=7; multipliers=[0.5, 0.6666666667, 1.0, 1.5, 2.0, 3.0]"
source_mnar_denominators,pass,"[{'source_eligible_n': 33396, 'update_eligible_n': 2802, 'target_eligible_n': 2587}]"
source_mnar_finite,pass,rows=6
source_k1_or_completion_anchor,pass,"OR-completion reference, k=1"
update_mnar_scenarios,pass,"rows=7; multipliers=[0.5, 0.6666666667, 1.0, 1.5, 2.0, 3.0]"
update_mnar_denominators,pass,"[{'source_eligible_n': 33396, 'update_eligible_n': 2802, 'target_eligible_n': 2587}]"
update_mnar_finite,pass,rows=6
update_k1_or_completion_anchor,pass,"OR-completion reference, k=1"
target_mnar_scenarios,pass,"rows=7; multipliers=[0.5, 0.6666666667, 1.0, 1.5, 2.0, 3.0]"
target_mnar_denominators,pass,"[{'source_eligible_n': 33396, 'update_eligible_n': 2802, 'target_eligible_n': 2587}]"
target_mnar_finite,pass,rows=6
target_k1_or_completion_anchor,pass,"OR-completion reference, k=1"
source_expected_events_monotonic,pass,"[{'odds_multiplier': 0.5, 'source_expected_events': 1855.821095000729}, {'odds_multiplier': 0.6666666667, 'source_expected_events': 1914.8386638844788}, {'odds_multiplier': 1.0, 'source_expected_events': 2029.416868583067}, {'odds_multiplier': 1.5, 'source_expected_events': 2193.446040329457}, {'odds_multiplier': 2.0, 'source_expected_events': 2349.093199863907}, {'odds_multiplier': 3.0, 'source_expected_events': 2638.6838051017044}]"
mnar_anchor_table_complete,pass,rows=6
k1_not_numerically_forced_to_canonical,pass,canonical and OR-completion anchors remain distinct
canonical_bootstrap_1000_unique,pass,rows=1000; unique=1000
canonical_bootstrap_finite,pass,columns=46
canonical_intervals_from_single_distribution,pass,mismatches=[]
