endpoint,estimand,model,metric,estimate,ci_lower,ci_upper,estimator_component,bootstrap_replicates,bootstrap_unit,canonical_source
creatinine-defined AKI through discharge or postoperative day 7,hybrid AIPW/IPW performance among all baseline-eligible MOVER 2022 patients under MAR conditional on measured pre-prediction variables,expanded-IPW source development plus expanded-IPW MOVER 2021 logistic recalibration,events,249.91296643187667,218.80000332039677,281.6581634171192,AIPW,1000,retained patient/operation,data/processed/canonical_bootstrap_distribution_v32.parquet
creatinine-defined AKI through discharge or postoperative day 7,hybrid AIPW/IPW performance among all baseline-eligible MOVER 2022 patients under MAR conditional on measured pre-prediction variables,expanded-IPW source development plus expanded-IPW MOVER 2021 logistic recalibration,event_rate,0.0966033886478069,0.0845767310863536,0.1088744350278775,AIPW,1000,retained patient/operation,data/processed/canonical_bootstrap_distribution_v32.parquet
creatinine-defined AKI through discharge or postoperative day 7,hybrid AIPW/IPW performance among all baseline-eligible MOVER 2022 patients under MAR conditional on measured pre-prediction variables,expanded-IPW source development plus expanded-IPW MOVER 2021 logistic recalibration,predicted_mean,0.0983023905215791,0.0872786383384324,0.110068516260703,exact all-eligible predictions,1000,retained patient/operation,data/processed/canonical_bootstrap_distribution_v32.parquet
creatinine-defined AKI through discharge or postoperative day 7,hybrid AIPW/IPW performance among all baseline-eligible MOVER 2022 patients under MAR conditional on measured pre-prediction variables,expanded-IPW source development plus expanded-IPW MOVER 2021 logistic recalibration,oe_ratio,0.9827165762220276,0.8294428103400215,1.1606084961973495,plug-in ratio of AIPW observed-event total to exact predicted-event total,1000,retained patient/operation,data/processed/canonical_bootstrap_distribution_v32.parquet
creatinine-defined AKI through discharge or postoperative day 7,hybrid AIPW/IPW performance among all baseline-eligible MOVER 2022 patients under MAR conditional on measured pre-prediction variables,expanded-IPW source development plus expanded-IPW MOVER 2021 logistic recalibration,calibration_intercept,-0.0338000760046349,-0.2343920414092663,0.1678005388274367,1/99 truncated expanded IPW,1000,retained patient/operation,data/processed/canonical_bootstrap_distribution_v32.parquet
creatinine-defined AKI through discharge or postoperative day 7,hybrid AIPW/IPW performance among all baseline-eligible MOVER 2022 patients under MAR conditional on measured pre-prediction variables,expanded-IPW source development plus expanded-IPW MOVER 2021 logistic recalibration,calibration_joint_intercept,-0.131774266027062,-0.5980286136446984,0.4612507746265323,1/99 truncated expanded IPW,1000,retained patient/operation,data/processed/canonical_bootstrap_distribution_v32.parquet
creatinine-defined AKI through discharge or postoperative day 7,hybrid AIPW/IPW performance among all baseline-eligible MOVER 2022 patients under MAR conditional on measured pre-prediction variables,expanded-IPW source development plus expanded-IPW MOVER 2021 logistic recalibration,calibration_slope,0.9515712689069512,0.7268896738299896,1.235510186146952,1/99 truncated expanded IPW,1000,retained patient/operation,data/processed/canonical_bootstrap_distribution_v32.parquet
creatinine-defined AKI through discharge or postoperative day 7,hybrid AIPW/IPW performance among all baseline-eligible MOVER 2022 patients under MAR conditional on measured pre-prediction variables,expanded-IPW source development plus expanded-IPW MOVER 2021 logistic recalibration,auroc,0.6875661834325857,0.6449519158345157,0.7343424202792888,1/99 truncated expanded IPW,1000,retained patient/operation,data/processed/canonical_bootstrap_distribution_v32.parquet
creatinine-defined AKI through discharge or postoperative day 7,hybrid AIPW/IPW performance among all baseline-eligible MOVER 2022 patients under MAR conditional on measured pre-prediction variables,expanded-IPW source development plus expanded-IPW MOVER 2021 logistic recalibration,auprc,0.2356543830454011,0.1941922689921283,0.2939497972706904,1/99 truncated expanded IPW,1000,retained patient/operation,data/processed/canonical_bootstrap_distribution_v32.parquet
creatinine-defined AKI through discharge or postoperative day 7,hybrid AIPW/IPW performance among all baseline-eligible MOVER 2022 patients under MAR conditional on measured pre-prediction variables,expanded-IPW source development plus expanded-IPW MOVER 2021 logistic recalibration,brier,0.0817595648855987,0.0728716731054463,0.0914266798276297,AIPW,1000,retained patient/operation,data/processed/canonical_bootstrap_distribution_v32.parquet
creatinine-defined AKI through discharge or postoperative day 7,hybrid AIPW/IPW performance among all baseline-eligible MOVER 2022 patients under MAR conditional on measured pre-prediction variables,expanded-IPW source development plus expanded-IPW MOVER 2021 logistic recalibration,brier_skill_score,0.0631549779215071,0.0298144161425406,0.0954920102055471,AIPW,1000,retained patient/operation,data/processed/canonical_bootstrap_distribution_v32.parquet
creatinine-defined AKI through discharge or postoperative day 7,hybrid AIPW/IPW performance among all baseline-eligible MOVER 2022 patients under MAR conditional on measured pre-prediction variables,expanded-IPW source development plus expanded-IPW MOVER 2021 logistic recalibration,grouped_absolute_calibration_error_10q,0.014665075324777,0.0115873522796684,0.0311916941514819,1/99 truncated expanded IPW,1000,retained patient/operation,data/processed/canonical_bootstrap_distribution_v32.parquet
