phase,variable,level,target_mean_or_proportion,observed_unweighted_mean_or_proportion,observed_weighted_mean_or_proportion,unweighted_smd_vs_target,weighted_smd_vs_target
INSPIRE,age,continuous_or_binary,55.9766139657444,57.5601029187103,55.854790315568614,0.0999959040868452,-0.0076930540094203
INSPIRE,sex_male,continuous_or_binary,0.5142232602706911,0.5449465305137895,0.5148286416645849,0.0614704966464342,0.0012112348278263
INSPIRE,duration_h,continuous_or_binary,3.011740427995369,3.4675598349012353,3.0494697881393233,0.2344464267259637,0.0194057416915419
INSPIRE,baseline_cr,continuous_or_binary,0.8486333692657804,0.8593684168207769,0.8490454081823403,0.0307041430975294,0.0011785045004219
INSPIRE,asa,1.0,0.3261767876392382,0.284996381764091,0.3266404395798207,-0.0878397544758338,0.0009889915302556
INSPIRE,asa,2.0,0.5426098934004072,0.5661735145131462,0.5407927314539885,0.0472993087343692,-0.0036475931909097
INSPIRE,asa,3.0,0.0884537070307821,0.1050092466028785,0.0897295420353966,0.0583036784470888,0.0044931108126466
INSPIRE,asa,4.0,0.0061684034016049,0.0080003216209696,0.0063471622599121,0.0233971682417962,0.0022830992335321
INSPIRE,asa,5.0,0.0006887052341597,0.0008844576666398,0.0007230528981069,0.0074617394047816,0.0013092727088493
INSPIRE,asa,6.0,0.0014372978799856,4.020262121090295e-05,0.0001119307400052,-0.0368777958757142,-0.0349844568876729
INSPIRE,asa,<missing>,0.034465205413822,0.0348958752110637,0.0356551410327694,0.0023608588138962,0.0065230253246296
MOVER 2021,age,continuous_or_binary,51.361527480371166,53.44303797468354,51.59652568041562,0.1077440597145987,0.0121640799638518
MOVER 2021,sex_male,continuous_or_binary,0.5974304068522484,0.6098553345388789,0.5983291557638687,0.0253309928918175,0.0018323005868501
MOVER 2021,duration_h,continuous_or_binary,3.3619081608374968,3.5741109101868593,3.3905750683891567,0.1024297647576101,0.013837448411238
MOVER 2021,baseline_cr,continuous_or_binary,0.9034618129907208,0.9078209764918626,0.9021868999711872,0.0090457365259306,-0.0026455826364759
MOVER 2021,asa,1.0,0.0710206995003568,0.0474683544303797,0.0662719185848252,-0.091693524064991,-0.0184878599504187
MOVER 2021,asa,2.0,0.3294075660242684,0.2739602169981917,0.3291662689711956,-0.1179735579547729,-0.0005134000520315
MOVER 2021,asa,3.0,0.4489650249821556,0.4981916817359855,0.4527863089438123,0.0989702127640477,0.0076826929077928
MOVER 2021,asa,4.0,0.1306209850107066,0.159132007233273,0.1323299057038218,0.0846061114141485,0.0050712013561271
MOVER 2021,asa,5.0,0.0185581727337615,0.0207956600361663,0.0190452966621711,0.0165790900949487,0.0036094379118161
MOVER 2021,asa,6.0,0.0010706638115631,0.0,0.0,-0.0327385302235825,-0.0327385302235825
MOVER 2021,asa,<missing>,0.0003568879371877,0.0004520795660036,0.0004003011341739,0.0050397655624254,0.0022984409222479
MOVER 2021,surgery_category,abdominal,0.0753033547466095,0.0818264014466546,0.0766518128025998,0.0247197278186296,0.005110114590884
MOVER 2021,surgery_category,breast,0.0017844396859386,0.0004520795660036,0.0008692350445209,-0.0315688324808444,-0.0216847844500286
MOVER 2021,surgery_category,head_neck,0.118486795146324,0.1207052441229656,0.119772654786795,0.0068643600810172,0.0039787273355288
MOVER 2021,surgery_category,neurologic,0.0778015703069236,0.0962929475587703,0.0789280747199142,0.069033976192084,0.0042055860830433
MOVER 2021,surgery_category,orthopedic,0.1406138472519628,0.1699819168173598,0.1424917135214327,0.0844825820874972,0.005402023136269
MOVER 2021,surgery_category,other,0.4953604568165596,0.4371609403254973,0.4900427576162032,-0.1164040443681412,-0.0106358562918607
MOVER 2021,surgery_category,plastic,0.0039257673090649,0.0036166365280289,0.0035962729179872,-0.0049434952510207,-0.0052691419213304
MOVER 2021,surgery_category,thoracic,0.0285510349750178,0.0320976491862567,0.0286014679674365,0.0212957542748246,0.000302826456424
MOVER 2021,surgery_category,urologic,0.0421127765881513,0.0393309222423146,0.0427396196460039,-0.0138506533087976,0.0031210066358567
MOVER 2021,surgery_category,vascular,0.0160599571734475,0.0185352622061482,0.0163063909771063,0.0196912014773551,0.0019603958358946
MOVER 2022,age,continuous_or_binary,51.62234248163897,54.126414166256765,51.802470450562815,0.1282623543919535,0.0092264281122366
MOVER 2022,sex_male,continuous_or_binary,0.5798221878623888,0.5976389572060994,0.5834903856953021,0.0360895137541165,0.0074302738947718
MOVER 2022,duration_h,continuous_or_binary,3.257299317098312,3.47027381537957,3.276905143903849,0.1081825517750139,0.0099589781433873
MOVER 2022,baseline_cr,continuous_or_binary,0.9063393892539622,0.923413674372848,0.9081501601192744,0.0365513389433797,0.0038763613929354
MOVER 2022,asa,1.0,0.0850405875531503,0.0521396950319724,0.0785608656008641,-0.1179488304260793,-0.0232296320006029
MOVER 2022,asa,2.0,0.3328179358330112,0.2725036891293654,0.3343970190839554,-0.1279954010170434,0.0033510390163206
MOVER 2022,asa,3.0,0.4333204483958253,0.4933595671421544,0.4371783999224404,0.1211604691505004,0.007785444335043
MOVER 2022,asa,4.0,0.1244684963277928,0.1544515494343335,0.1263245587036971,0.0908260116097055,0.0056224675420211
MOVER 2022,asa,5.0,0.0228063393892539,0.0275454992621741,0.0235391566890428,0.0317455786523459,0.0049088255834493
MOVER 2022,asa,6.0,0.0015461925009663,0.0,0.0,-0.039352089073397,-0.039352089073397
MOVER 2022,surgery_category,abdominal,0.0676459219172787,0.073290703393999,0.0673196155452447,0.0224768727366256,-0.0012993145664904
MOVER 2022,surgery_category,breast,0.0011596443757247,0.0004918839153959,0.0005913124821184,-0.01962050795241,-0.0166990426965693
MOVER 2022,surgery_category,head_neck,0.1283339775802087,0.1308411214953271,0.1300302331976948,0.0074960655877703,0.005071604898955
MOVER 2022,surgery_category,neurologic,0.0722844994201778,0.0905066404328578,0.0733387583612218,0.0703670602469266,0.0040711518129886
MOVER 2022,surgery_category,orthopedic,0.1534596057209122,0.1805213969503197,0.155033657640668,0.0750819696746481,0.0043671506258979
MOVER 2022,surgery_category,other,0.4770003865481252,0.4279390063944909,0.4715810711434053,-0.0982267357307958,-0.0108501159248741
MOVER 2022,surgery_category,plastic,0.0115964437572477,0.0127889818002951,0.0121613793435304,0.0111389096078753,0.0052767846414316
MOVER 2022,surgery_category,thoracic,0.0297642056436026,0.0334481062469257,0.0300327393985951,0.021678144618583,0.0015802037575192
